frame,input.bJump,input.bJumped,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
132,False,False,1.000000,0.000000,260.690002,0.000000,202.849991,501.079987,0.000000,-15.450000,-0.578575,0.621617,0.244490,0.468046,-1.751400,2.345700,3.296600
133,False,False,1.000000,0.000000,264.869995,0.000000,202.720001,501.079987,0.000000,-15.450000,-0.588038,0.619843,0.252119,0.454360,-1.721900,2.346500,3.318200
134,False,False,1.000000,0.000000,269.049988,0.000000,202.589996,501.079987,0.000000,-15.450000,-0.597295,0.617783,0.259779,0.440565,-1.692700,2.348300,3.338500
135,False,False,1.000000,0.000000,273.229980,0.000000,202.459991,501.079987,0.000000,-15.450000,-0.606348,0.615437,0.267467,0.426663,-1.663900,2.351000,3.357500
136,False,False,1.000000,0.000000,277.410004,0.000000,202.330002,501.079987,0.000000,-15.450000,0.615181,-0.612816,-0.275176,-0.412658,-1.635500,2.354500,3.375200
137,False,False,1.000000,0.000000,281.589996,0.000000,202.199997,501.079987,0.000000,-15.450000,0.623794,-0.609919,-0.282901,-0.398556,-1.607500,2.358800,3.391700
138,False,False,1.000000,0.000000,285.769989,0.000000,202.069992,501.079987,0.000000,-15.450000,0.632185,-0.606747,-0.290638,-0.384356,-1.580000,2.363900,3.407000
139,False,False,1.000000,0.000000,289.949982,0.000000,201.940002,501.079987,0.000000,-15.450000,0.640344,-0.603305,-0.298385,-0.370066,-1.553000,2.369700,3.421200
140,False,False,1.000000,0.000000,294.130005,0.000000,201.809998,501.079987,0.000000,-15.450000,0.648267,-0.599599,-0.306132,-0.355688,-1.526500,2.376200,3.434300
141,False,False,1.000000,0.000000,298.309998,0.000000,201.679993,501.079987,0.000000,-15.450000,0.655949,-0.595634,-0.313873,-0.341225,-1.500600,2.383300,3.446300
142,False,False,1.000000,0.000000,302.489990,0.000000,201.550003,501.079987,0.000000,-15.450000,0.663387,-0.591410,-0.321609,-0.326680,-1.475300,2.391000,3.457300
143,False,False,1.000000,0.000000,306.669983,0.000000,201.419998,501.079987,0.000000,-15.450000,0.670578,-0.586932,-0.329329,-0.312055,-1.450600,2.399300,3.467300
144,False,False,1.000000,0.000000,310.850006,0.000000,201.289993,501.079987,0.000000,-15.450000,0.677514,-0.582206,-0.337033,-0.297354,-1.426500,2.408100,3.476300
145,False,False,1.000000,0.000000,315.029999,0.000000,201.159988,501.079987,0.000000,-15.450000,0.684197,-0.577232,-0.344710,-0.282583,-1.403100,2.417400,3.484400
146,False,False,1.000000,0.000000,319.209991,0.000000,201.029999,501.079987,0.000000,-15.450000,0.690613,-0.572020,-0.352360,-0.267747,-1.380300,2.427100,3.491600
147,False,False,1.000000,0.000000,323.389984,0.000000,200.899994,501.079987,0.000000,-15.450000,0.696769,-0.566566,-0.359977,-0.252847,-1.358200,2.437200,3.498000
148,False,False,1.000000,0.000000,327.570007,0.000000,200.769989,501.079987,0.000000,-15.450000,0.702656,-0.560880,-0.367557,-0.237887,-1.336800,2.447700,3.503500
149,False,False,1.000000,0.000000,331.750000,0.000000,200.639999,501.079987,0.000000,-15.450000,0.708272,-0.554962,-0.375094,-0.222873,-1.316100,2.458500,3.508300
150,False,False,1.000000,0.000000,335.929993,0.000000,200.470001,501.079987,0.000000,-20.859999,0.713453,-0.549114,-0.382161,-0.208356,-1.277300,2.356100,3.369500
151,False,False,1.000000,0.000000,340.109985,0.000000,200.250000,501.079987,0.000000,-26.269999,0.718230,-0.543347,-0.388791,-0.194324,-1.239600,2.257600,3.236600
152,False,False,1.000000,0.000000,344.289978,0.000000,199.989990,501.079987,0.000000,-31.679998,0.722640,-0.537666,-0.395006,-0.180767,-1.202900,2.162800,3.109200
153,False,False,1.000000,0.000000,348.470001,0.000000,199.679993,501.079987,0.000000,-37.090000,0.726709,-0.532088,-0.400827,-0.167674,-1.167200,2.071600,2.987100
154,False,False,1.000000,0.000000,352.649994,0.000000,199.330002,501.079987,0.000000,-42.500000,0.730465,-0.526612,-0.406281,-0.155034,-1.132500,1.983800,2.870100
155,False,False,1.000000,0.000000,356.829987,0.000000,198.929993,501.079987,0.000000,-47.910000,0.733931,-0.521250,-0.411390,-0.142836,-1.098700,1.899400,2.758000
156,False,False,1.000000,0.000000,361.009979,0.000000,198.489990,501.079987,0.000000,-53.320000,0.737134,-0.516001,-0.416170,-0.131070,-1.065800,1.818300,2.650500
157,False,False,1.000000,0.000000,365.190002,0.000000,198.000000,501.079987,0.000000,-58.730000,0.740090,-0.510870,-0.420647,-0.119724,-1.033800,1.740300,2.547400
158,False,False,1.000000,0.000000,369.369995,0.000000,197.470001,501.079987,0.000000,-64.139999,0.742822,-0.505864,-0.424834,-0.108784,-1.002700,1.665400,2.448600
159,False,False,1.000000,0.000000,373.549988,0.000000,196.889999,501.079987,0.000000,-69.549995,0.745345,-0.500982,-0.428750,-0.098242,-0.972400,1.593400,2.353900
